segment_id,avg_signal,min_signal,provider_best_signal,provider_redundancy_score,dead_zone_flag,risk_score,handover_risk,safe_flag,estimated_bandwidth_mbps
S20876,66.6,64.68,67.58,118.23,0,0.158,0.05,1,64.55
S25074,56.88,54.14,58.33,101.95,0,0.202,0.05,1,51.09
S25075,56.73,53.8,58.28,101.86,0,0.202,0.05,1,50.94
S25123,56.54,53.21,58.31,101.89,0,0.203,0.05,1,50.79
S25124,56.62,53.38,58.33,101.93,0,0.203,0.05,1,50.87
S25125,56.61,53.32,58.35,101.96,0,0.203,0.05,1,50.87
S25126,57.09,54.47,58.49,102.22,0,0.201,0.05,1,51.35
S25127,57.07,54.44,58.48,102.2,0,0.201,0.05,1,51.33
S25128,57.07,54.44,58.48,102.2,0,0.201,0.05,1,51.33
S25129,56.73,53.8,58.28,101.86,0,0.202,0.05,1,50.94
S25130,56.85,54.01,58.36,101.99,0,0.202,0.05,1,51.08
S25131,57.22,54.75,58.55,102.33,0,0.2,0.05,1,51.5
S25132,57.28,54.83,58.59,102.4,0,0.2,0.05,1,51.57
S25133,57.17,54.62,58.53,102.29,0,0.2,0.05,1,51.44
S25134,57.34,55.02,58.59,102.4,0,0.199,0.05,1,51.62
S25135,57.47,55.25,58.66,102.52,0,0.199,0.05,1,51.77
S25136,57.44,55.24,58.62,102.46,0,0.199,0.05,1,51.72
S25137,57.34,55.02,58.59,102.4,0,0.199,0.05,1,51.62
S25138,57.08,54.61,58.4,102.08,0,0.201,0.05,1,51.3
S25139,57.23,54.84,58.5,102.25,0,0.2,0.05,1,51.48
S25140,57.44,55.24,58.62,102.46,0,0.199,0.05,1,51.72
S25141,57.74,55.84,58.78,102.74,0,0.198,0.05,1,52.06
S25142,57.44,55.24,58.62,102.46,0,0.199,0.05,1,51.72
S25143,57.45,55.16,58.68,102.56,0,0.199,0.05,1,51.76
S25144,57.52,55.28,58.74,102.65,0,0.199,0.05,1,51.85
S25145,57.65,55.6,58.76,102.71,0,0.198,0.05,1,51.97
S25146,57.12,54.38,58.6,102.4,0,0.2,0.05,1,51.43
S25147,57.5,55.16,58.77,102.7,0,0.199,0.05,1,51.85
S25148,57.42,54.98,58.74,102.65,0,0.199,0.05,1,51.76
S25149,57.42,54.98,58.74,102.65,0,0.199,0.05,1,51.76
S25150,57.36,54.92,58.67,102.53,0,0.199,0.05,1,51.68
S25151,57.22,54.6,58.63,102.45,0,0.2,0.05,1,51.53
S25152,57.42,54.98,58.74,102.65,0,0.199,0.05,1,51.76
S25153,57.38,54.59,58.9,102.9,0,0.199,0.05,1,51.8
S25154,57.48,54.8,58.93,102.95,0,0.199,0.05,1,51.9
S25155,57.73,55.19,59.12,103.29,0,0.198,0.05,1,52.22
S25156,57.76,55.24,59.13,103.3,0,0.198,0.05,1,52.25
S25157,57.73,55.19,59.12,103.29,0,0.198,0.05,1,52.22
S25158,57.73,55.19,59.12,103.29,0,0.198,0.05,1,52.22
S25159,57.03,53.59,58.88,102.85,0,0.201,0.05,1,51.49
S25160,57.24,54.07,58.95,102.97,0,0.2,0.05,1,51.7
S25161,57.31,54.24,58.97,103.01,0,0.2,0.05,1,51.77
S25162,57.31,54.24,58.97,103.01,0,0.2,0.05,1,51.77
S25163,57.59,54.86,59.08,103.2,0,0.198,0.05,1,52.07
S25164,57.76,55.24,59.13,103.3,0,0.198,0.05,1,52.25
S25165,57.94,55.67,59.19,103.42,0,0.197,0.05,1,52.43
S25166,58.01,55.69,59.29,103.58,0,0.196,0.05,1,52.54
S25167,58.29,56.29,59.4,103.79,0,0.195,0.05,1,52.84
S25168,58.4,56.49,59.47,103.9,0,0.195,0.05,1,52.98
S25169,58.29,56.29,59.4,103.79,0,0.195,0.05,1,52.84
S25170,58.07,55.78,59.34,103.67,0,0.196,0.05,1,52.62
S25171,57.96,55.43,59.36,103.68,0,0.197,0.05,1,52.53
S25172,57.89,55.35,59.28,103.55,0,0.197,0.05,1,52.43
S25173,57.59,54.86,59.08,103.2,0,0.198,0.05,1,52.07
S25174,57.33,54.41,58.9,102.9,0,0.2,0.05,1,51.76
S25175,57.35,54.46,58.91,102.91,0,0.199,0.05,1,51.78
S25176,57.73,55.19,59.12,103.29,0,0.198,0.05,1,52.22
S25177,57.68,55.01,59.14,103.3,0,0.198,0.05,1,52.18
S25178,57.59,54.86,59.08,103.2,0,0.198,0.05,1,52.07
S25179,57.59,54.86,59.08,103.2,0,0.198,0.05,1,52.07
S25180,58.04,55.54,59.42,103.8,0,0.196,0.05,1,52.63
S25181,57.99,55.45,59.39,103.73,0,0.197,0.05,1,52.57
S25182,58.14,55.79,59.44,103.83,0,0.196,0.05,1,52.73
S25183,58.48,56.27,59.71,104.3,0,0.194,0.05,1,53.16
S25184,58.28,55.94,59.58,104.08,0,0.195,0.05,1,52.92
S25185,58.28,55.94,59.58,104.08,0,0.195,0.05,1,52.92
S25186,57.97,55.2,59.49,103.91,0,0.197,0.05,1,52.6
S25187,58.17,55.66,59.55,104.02,0,0.196,0.05,1,52.81
S25188,58.25,55.89,59.56,104.04,0,0.195,0.05,1,52.89
S25189,58.04,55.54,59.42,103.8,0,0.196,0.05,1,52.63
S25190,58.04,55.54,59.42,103.8,0,0.196,0.05,1,52.63
S25191,57.72,54.76,59.33,103.63,0,0.198,0.05,1,52.31
S25192,57.88,55.14,59.37,103.71,0,0.197,0.05,1,52.47
S25193,57.9,55.21,59.38,103.72,0,0.197,0.05,1,52.49
S25194,58.04,55.54,59.42,103.8,0,0.196,0.05,1,52.63
S25195,58.07,55.5,59.49,103.91,0,0.196,0.05,1,52.69
S25196,58.28,55.94,59.58,104.08,0,0.195,0.05,1,52.92
S25197,58.17,55.66,59.55,104.02,0,0.196,0.05,1,52.81
S25198,58.17,55.66,59.55,104.02,0,0.196,0.05,1,52.81
S25199,57.54,54.46,59.22,103.43,0,0.199,0.05,1,52.1
S25200,57.7,54.84,59.26,103.52,0,0.198,0.05,1,52.26
S25201,57.76,55.14,59.19,103.39,0,0.198,0.05,1,52.28
S25202,57.68,55.01,59.14,103.3,0,0.198,0.05,1,52.18
S25203,57.68,55.01,59.14,103.3,0,0.198,0.05,1,52.18
S25204,57.89,55.35,59.28,103.55,0,0.197,0.05,1,52.43
S25205,57.8,55.21,59.22,103.45,0,0.197,0.05,1,52.33
S25206,57.8,55.21,59.22,103.45,0,0.197,0.05,1,52.33
S25207,57.02,53.76,58.78,102.68,0,0.201,0.05,1,51.43
S25208,57.11,53.96,58.81,102.73,0,0.201,0.05,1,51.52
S25209,57.09,53.87,58.82,102.75,0,0.201,0.05,1,51.51
S25210,57.09,53.87,58.82,102.75,0,0.201,0.05,1,51.51
S25211,57.2,54.05,58.89,102.88,0,0.2,0.05,1,51.64
S25212,57.21,54.16,58.86,102.83,0,0.2,0.05,1,51.63
S25213,57.1,54.07,58.73,102.61,0,0.201,0.05,1,51.48
S25214,57.1,54.07,58.73,102.61,0,0.201,0.05,1,51.48
S25215,57.23,54.38,58.77,102.68,0,0.2,0.05,1,51.61
S25216,58.28,56.39,59.33,103.66,0,0.195,0.05,1,52.8
S25217,58.46,56.7,59.44,103.86,0,0.194,0.05,1,53.01
S25218,58.28,56.39,59.33,103.66,0,0.195,0.05,1,52.8
S25219,58.08,55.93,59.27,103.55,0,0.196,0.05,1,52.6
S25220,58.28,56.39,59.33,103.66,0,0.195,0.05,1,52.8
S25221,58.26,56.23,59.38,103.75,0,0.195,0.05,1,52.81
S25222,57.94,55.67,59.19,103.42,0,0.197,0.05,1,52.43
S25223,58.08,55.93,59.27,103.55,0,0.196,0.05,1,52.6
S25224,58.11,56.08,59.24,103.51,0,0.196,0.05,1,52.61
S25225,59.37,58.49,59.91,104.69,0,0.19,0.05,1,54.05
S25226,59.4,58.53,59.94,104.73,0,0.19,0.05,1,54.09
S25227,59.37,58.49,59.91,104.69,0,0.19,0.05,1,54.05
S25228,59.12,57.88,59.86,104.58,0,0.191,0.05,1,53.8
S25229,59.12,57.88,59.86,104.58,0,0.191,0.05,1,53.8
S25230,59.37,58.49,59.91,104.69,0,0.19,0.05,1,54.05
S25231,59.01,57.66,59.8,104.47,0,0.192,0.05,1,53.68
S25232,59.01,57.67,59.78,104.45,0,0.192,0.05,1,53.67
S25233,59.12,57.88,59.86,104.58,0,0.191,0.05,1,53.8
S25234,59.01,57.54,59.87,104.6,0,0.192,0.05,1,53.71
S25235,59.14,57.76,59.95,104.73,0,0.191,0.05,1,53.86
S25236,59.01,57.54,59.87,104.6,0,0.192,0.05,1,53.71
S25237,59.45,58.61,59.98,104.81,0,0.19,0.05,1,54.16
S25238,59.45,58.61,59.98,104.81,0,0.19,0.05,1,54.16
S25239,59.55,58.76,60.05,104.92,0,0.19,0.05,1,54.28
S25240,59.45,58.61,59.98,104.81,0,0.19,0.05,1,54.16
S25241,58.93,57.25,59.9,104.64,0,0.192,0.05,1,53.65
S25242,59.14,57.76,59.95,104.73,0,0.191,0.05,1,53.86
S25243,58.93,57.25,59.9,104.64,0,0.192,0.05,1,53.65
S25244,58.42,56.45,59.52,103.98,0,0.195,0.05,1,53.02
S25245,58.8,57.08,59.78,104.43,0,0.193,0.05,1,53.48
S25246,58.42,56.45,59.52,103.98,0,0.195,0.05,1,53.02
S25247,58.28,56.11,59.48,103.91,0,0.195,0.05,1,52.87
S25248,58.3,56.18,59.49,103.92,0,0.195,0.05,1,52.9
S25249,58.71,56.86,59.76,104.4,0,0.193,0.05,1,53.39
S25250,58.3,56.18,59.49,103.92,0,0.195,0.05,1,52.9
S25251,58.42,56.45,59.52,103.98,0,0.195,0.05,1,53.02
S25252,58.3,56.18,59.49,103.92,0,0.195,0.05,1,52.9
S25253,58.07,55.78,59.34,103.67,0,0.196,0.05,1,52.62
S25254,58.11,55.87,59.35,103.69,0,0.196,0.05,1,52.66
S25255,58.13,55.88,59.38,103.73,0,0.196,0.05,1,52.69
S25256,58.4,56.49,59.47,103.9,0,0.195,0.05,1,52.98
S25257,58.49,56.7,59.5,103.96,0,0.194,0.05,1,53.07
S25258,58.44,56.52,59.51,103.97,0,0.195,0.05,1,53.03
S25259,58.59,56.93,59.53,104.01,0,0.194,0.05,1,53.17
S25260,58.75,57.22,59.63,104.19,0,0.193,0.05,1,53.36
S25261,58.59,56.93,59.53,104.01,0,0.194,0.05,1,53.17
S25262,58.75,57.22,59.63,104.19,0,0.193,0.05,1,53.36
S25263,58.78,57.27,59.65,104.22,0,0.193,0.05,1,53.4
S25264,58.75,57.22,59.63,104.19,0,0.193,0.05,1,53.36
S25265,58.65,56.98,59.6,104.13,0,0.194,0.05,1,53.26
S25266,58.49,56.7,59.5,103.96,0,0.194,0.05,1,53.07
S25267,58.59,56.93,59.53,104.01,0,0.194,0.05,1,53.17
S25268,58.78,57.27,59.65,104.22,0,0.193,0.05,1,53.4
S25269,58.96,57.69,59.7,104.31,0,0.192,0.05,1,53.58
S25270,59.0,57.67,59.78,104.44,0,0.192,0.05,1,53.66
S25271,59.16,58.12,59.78,104.46,0,0.191,0.05,1,53.8
S25272,59.27,58.39,59.82,104.53,0,0.191,0.05,1,53.92
S25273,59.16,58.12,59.78,104.46,0,0.191,0.05,1,53.8
S25274,58.68,57.3,59.47,103.92,0,0.193,0.05,1,53.22
S25275,58.87,57.64,59.59,104.14,0,0.193,0.05,1,53.45
S25276,58.9,57.84,59.52,104.02,0,0.192,0.05,1,53.44
S25277,57.8,55.56,59.03,103.14,0,0.197,0.05,1,52.23
S25278,57.9,55.79,59.06,103.19,0,0.197,0.05,1,52.34
S25279,57.8,55.56,59.03,103.14,0,0.197,0.05,1,52.23
S25280,57.55,55.1,58.88,102.88,0,0.199,0.05,1,51.94
S25281,57.82,55.74,58.96,103.03,0,0.197,0.05,1,52.22
S25282,57.55,55.1,58.88,102.88,0,0.199,0.05,1,51.94
S25283,57.62,55.23,58.92,102.95,0,0.198,0.05,1,52.02
S25284,57.39,55.05,58.66,102.52,0,0.199,0.05,1,51.7
S25285,57.35,54.97,58.64,102.47,0,0.199,0.05,1,51.65
S25286,57.35,54.97,58.64,102.47,0,0.199,0.05,1,51.65
S25287,57.16,54.52,58.57,102.36,0,0.2,0.05,1,51.45
S25288,56.99,54.13,58.52,102.26,0,0.201,0.05,1,51.28
S25289,57.05,54.25,58.56,102.32,0,0.201,0.05,1,51.35
S25290,57.23,54.68,58.59,102.4,0,0.2,0.05,1,51.52
S25291,57.35,54.97,58.64,102.47,0,0.199,0.05,1,51.65
S25292,57.36,54.92,58.67,102.53,0,0.199,0.05,1,51.68
S25293,57.52,55.28,58.74,102.65,0,0.199,0.05,1,51.85
S25294,57.36,54.92,58.67,102.53,0,0.199,0.05,1,51.68
S25295,57.36,54.92,58.67,102.53,0,0.199,0.05,1,51.68
S25296,56.92,53.29,58.86,102.81,0,0.201,0.05,1,51.38
S25297,56.81,53.04,58.83,102.75,0,0.202,0.05,1,51.27
S25298,56.81,53.04,58.83,102.75,0,0.202,0.05,1,51.27
S25299,56.41,52.36,58.57,102.29,0,0.204,0.05,1,50.8
S25300,56.52,52.61,58.61,102.37,0,0.203,0.05,1,50.91
S25301,56.45,52.43,58.6,102.34,0,0.203,0.05,1,50.84
S25302,57.9,55.79,59.06,103.19,0,0.197,0.05,1,52.34
S25303,58.07,56.21,59.1,103.27,0,0.196,0.05,1,52.51
S25304,58.35,56.61,59.33,103.67,0,0.195,0.05,1,52.86
S25305,57.71,55.72,58.8,102.77,0,0.198,0.05,1,52.05
S25306,57.85,55.97,58.88,102.9,0,0.197,0.05,1,52.21
S25307,57.97,56.32,58.88,102.91,0,0.197,0.05,1,52.31
S25308,58.19,56.71,59.02,103.16,0,0.196,0.05,1,52.57
S25309,58.22,56.75,59.04,103.19,0,0.196,0.05,1,52.61
S25310,58.19,56.71,59.02,103.16,0,0.196,0.05,1,52.57
S25311,57.99,56.24,58.96,103.04,0,0.197,0.05,1,52.37
S25312,58.22,56.64,59.09,103.28,0,0.196,0.05,1,52.63
S25313,58.19,56.71,59.02,103.16,0,0.196,0.05,1,52.57
S25314,64.44,60.51,68.7,116.79,0,0.168,0.05,1,63.07
S25315,64.08,60.58,66.63,115.4,0,0.169,0.05,1,61.68
S25316,66.55,62.56,73.02,121.07,0,0.158,0.05,1,67.31
S25317,66.55,62.56,73.02,121.07,0,0.158,0.05,1,67.31
S25482,64.27,62.88,66.86,114.16,0,0.168,0.05,1,61.97
S25483,64.28,62.88,66.89,114.2,0,0.168,0.05,1,62.0
S25546,62.61,61.94,63.71,110.34,0,0.176,0.05,1,58.85
S25547,62.23,61.69,63.06,109.51,0,0.177,0.05,1,58.18
S25548,62.36,61.71,63.43,109.88,0,0.177,0.05,1,58.48
S25549,62.47,61.92,63.33,109.94,0,0.176,0.05,1,58.53
S25550,63.42,62.54,64.94,112.02,0,0.172,0.05,1,60.21
S25551,62.92,62.15,64.23,111.01,0,0.174,0.05,1,59.4
S25552,62.92,62.15,64.23,111.01,0,0.174,0.05,1,59.4
S25553,63.04,62.17,64.57,111.36,0,0.174,0.05,1,59.68
S25554,63.69,62.77,65.29,112.54,0,0.171,0.05,1,60.64
S25555,63.69,62.77,65.29,112.54,0,0.171,0.05,1,60.64
S25556,64.06,63.07,65.8,113.27,0,0.169,0.05,1,61.24
S25557,62.56,62.32,62.81,109.72,0,0.176,0.05,1,58.36
S25558,62.56,62.32,62.81,109.72,0,0.176,0.05,1,58.36
S25559,62.26,61.93,62.57,109.29,0,0.177,0.05,1,57.96
S25560,61.87,61.36,62.27,108.77,0,0.179,0.05,1,57.46
S25561,62.01,61.71,62.29,108.8,0,0.178,0.05,1,57.6
S25562,61.77,60.78,62.42,109.01,0,0.18,0.05,1,57.44
S25563,61.52,60.41,62.22,108.67,0,0.181,0.05,1,57.12
S25564,61.76,61.05,62.26,108.73,0,0.18,0.05,1,57.35
S25565,62.19,61.34,62.76,109.61,0,0.178,0.05,1,57.99
S25566,62.19,61.34,62.76,109.61,0,0.178,0.05,1,57.99
S25567,62.35,62.07,62.64,109.39,0,0.177,0.05,1,58.08
S25568,62.16,62.04,62.31,108.9,0,0.178,0.05,1,57.74
S25569,62.83,62.59,63.06,110.2,0,0.175,0.05,1,58.73
S25570,62.83,62.59,63.06,110.2,0,0.175,0.05,1,58.73
S25571,62.35,62.07,62.64,109.39,0,0.177,0.05,1,58.08
S25572,62.68,62.33,63.13,110.07,0,0.175,0.05,1,58.63
S25573,62.47,62.09,63.0,109.75,0,0.176,0.05,1,58.37
S25574,63.06,62.63,63.66,110.82,0,0.174,0.05,1,59.24
S25575,63.06,62.63,63.66,110.82,0,0.174,0.05,1,59.24
S25576,62.92,62.35,63.82,110.77,0,0.174,0.05,1,59.19
S25577,62.6,62.11,63.34,110.1,0,0.176,0.05,1,58.66
S25578,62.73,62.12,63.69,110.46,0,0.175,0.05,1,58.95
S25579,63.35,62.69,64.42,111.62,0,0.172,0.05,1,59.89
S25580,63.35,62.69,64.42,111.62,0,0.172,0.05,1,59.89
S25581,63.13,62.38,64.4,111.36,0,0.173,0.05,1,59.68
S25582,62.82,62.14,63.94,110.72,0,0.175,0.05,1,59.16
S25583,62.92,62.15,64.23,111.01,0,0.174,0.05,1,59.4
S25584,63.59,62.75,65.04,112.27,0,0.171,0.05,1,60.42
S25585,63.59,62.75,65.04,112.27,0,0.171,0.05,1,60.42
S25586,63.85,62.81,65.72,112.99,0,0.17,0.05,1,61.01
S25587,63.85,62.81,65.72,112.99,0,0.17,0.05,1,61.01
S25588,63.04,62.17,64.57,111.36,0,0.174,0.05,1,59.68
S25589,63.54,62.55,65.3,112.37,0,0.172,0.05,1,60.51
S25590,63.04,62.17,64.57,111.36,0,0.174,0.05,1,59.68
S25591,63.17,62.18,64.94,111.74,0,0.173,0.05,1,59.98
S25592,62.73,61.96,64.05,110.68,0,0.175,0.05,1,59.13
S25593,62.48,61.72,63.77,110.23,0,0.176,0.05,1,58.76
S25594,62.36,61.71,63.43,109.88,0,0.177,0.05,1,58.48
S25595,61.78,61.58,61.92,108.3,0,0.179,0.05,1,57.21
S25596,61.78,61.58,61.92,108.3,0,0.179,0.05,1,57.21
S25597,61.9,61.59,62.27,108.64,0,0.179,0.05,1,57.49
S25598,62.23,61.69,63.06,109.51,0,0.177,0.05,1,58.18
S25599,62.3,61.61,63.46,109.83,0,0.177,0.05,1,58.44
S25600,62.06,61.6,62.75,109.13,0,0.178,0.05,1,57.87
S25601,62.06,61.6,62.75,109.13,0,0.178,0.05,1,57.87
S25602,63.28,62.2,65.25,112.05,0,0.173,0.05,1,60.24
S25603,63.28,62.2,65.25,112.05,0,0.173,0.05,1,60.24
S25604,63.31,62.2,65.34,112.14,0,0.173,0.05,1,60.31
S25605,61.48,61.17,61.87,107.93,0,0.181,0.05,1,56.91
S25606,61.87,61.33,62.73,108.89,0,0.179,0.05,1,57.69
S25607,62.48,61.72,63.77,110.23,0,0.176,0.05,1,58.76
S25608,62.87,61.98,64.45,111.09,0,0.175,0.05,1,59.46
S25609,62.48,61.72,63.77,110.23,0,0.176,0.05,1,58.76
S25610,62.7,61.77,64.34,110.82,0,0.175,0.05,1,59.25
S25611,64.04,62.84,66.23,113.51,0,0.169,0.05,1,61.44
S25612,64.04,62.84,66.23,113.51,0,0.169,0.05,1,61.44
S25613,63.52,62.44,65.48,112.47,0,0.172,0.05,1,60.58
S25614,64.04,62.84,66.23,113.51,0,0.169,0.05,1,61.44
S25615,63.66,62.46,65.87,112.86,0,0.171,0.05,1,60.9
S25616,63.63,62.23,66.24,113.06,0,0.171,0.05,1,61.06
S25617,63.63,62.23,66.24,113.06,0,0.171,0.05,1,61.06
S25618,63.99,62.5,66.79,113.8,0,0.17,0.05,1,61.68
S25619,63.01,61.81,65.23,111.73,0,0.174,0.05,1,59.98
S25620,63.01,61.81,65.23,111.73,0,0.174,0.05,1,59.98
S25621,62.05,61.44,63.03,109.28,0,0.178,0.05,1,58.0
S25622,61.99,61.4,62.93,109.15,0,0.179,0.05,1,57.89
S25623,62.11,61.4,63.31,109.53,0,0.178,0.05,1,58.19
S25624,62.06,61.34,63.31,109.47,0,0.178,0.05,1,58.15
S25625,62.18,61.34,63.65,109.81,0,0.178,0.05,1,58.43
S25626,62.11,61.4,63.31,109.53,0,0.178,0.05,1,58.19
S25627,62.06,61.34,63.31,109.47,0,0.178,0.05,1,58.15
S25628,61.44,61.06,61.97,107.94,0,0.181,0.05,1,56.92
S25629,61.99,61.4,62.93,109.15,0,0.179,0.05,1,57.89
S25630,61.87,61.33,62.73,108.89,0,0.179,0.05,1,57.69
S25631,61.87,61.33,62.73,108.89,0,0.179,0.05,1,57.69
S25632,61.78,61.42,62.27,108.51,0,0.179,0.05,1,57.38
S25633,61.58,61.3,61.9,108.05,0,0.18,0.05,1,57.01
S25634,61.87,61.33,62.73,108.89,0,0.179,0.05,1,57.69
S25635,61.78,61.42,62.27,108.51,0,0.179,0.05,1,57.38
S25636,62.05,61.44,63.03,109.28,0,0.178,0.05,1,58.0
S25637,61.78,61.42,62.27,108.51,0,0.179,0.05,1,57.38
S25638,62.06,61.6,62.75,109.13,0,0.178,0.05,1,57.87
S25639,62.17,61.53,63.25,109.56,0,0.178,0.05,1,58.22
S25640,62.05,61.44,63.03,109.28,0,0.178,0.05,1,58.0
S25641,62.05,61.44,63.03,109.28,0,0.178,0.05,1,58.0
S25642,62.3,61.61,63.46,109.83,0,0.177,0.05,1,58.44
S25643,62.17,61.53,63.25,109.56,0,0.178,0.05,1,58.22
S25644,62.36,61.54,63.8,110.11,0,0.177,0.05,1,58.67
S25645,61.31,61.04,61.57,107.55,0,0.182,0.05,1,56.61
S25646,61.08,60.69,61.41,107.26,0,0.183,0.05,1,56.32
S25647,61.78,61.58,61.92,108.3,0,0.179,0.05,1,57.21
S25648,61.64,61.53,61.83,108.0,0,0.18,0.05,1,57.03
S25649,61.64,61.53,61.83,108.0,0,0.18,0.05,1,57.03
S25650,61.19,60.7,61.58,107.56,0,0.182,0.05,1,56.5
S25651,60.93,60.31,61.38,107.21,0,0.183,0.05,1,56.17
S25652,61.64,61.53,61.83,108.0,0,0.18,0.05,1,57.03
S25653,61.49,61.13,61.81,107.97,0,0.181,0.05,1,56.89
S25654,61.49,61.13,61.81,107.97,0,0.181,0.05,1,56.89
S25655,60.97,59.93,61.64,107.65,0,0.183,0.05,1,56.33
S25656,60.38,58.55,61.45,107.31,0,0.186,0.05,1,55.7
S25657,60.92,59.69,61.68,107.73,0,0.183,0.05,1,56.31
S25658,60.98,59.77,61.73,107.81,0,0.183,0.05,1,56.38
S25659,60.98,59.77,61.73,107.81,0,0.183,0.05,1,56.38
S25660,61.32,60.67,61.78,107.91,0,0.182,0.05,1,56.72
S25661,62.46,62.19,62.73,109.58,0,0.176,0.05,1,58.23
S25662,62.4,62.12,62.69,109.49,0,0.177,0.05,1,58.15
S25663,62.4,62.12,62.69,109.49,0,0.177,0.05,1,58.15
S25664,62.19,61.34,62.76,109.61,0,0.178,0.05,1,57.99
S25665,62.08,61.2,62.67,109.45,0,0.178,0.05,1,57.85
S25666,62.4,62.12,62.69,109.49,0,0.177,0.05,1,58.15
S25667,62.56,62.32,62.81,109.72,0,0.176,0.05,1,58.36
S25668,62.46,62.19,62.73,109.58,0,0.176,0.05,1,58.23
S25669,62.58,62.47,62.74,109.64,0,0.176,0.05,1,58.34
S25670,62.9,62.49,63.45,110.51,0,0.174,0.05,1,58.99
S25671,62.7,62.48,62.9,109.95,0,0.175,0.05,1,58.53
S25672,62.7,62.48,62.9,109.95,0,0.175,0.05,1,58.53
S25673,63.54,62.55,65.3,112.37,0,0.172,0.05,1,60.51
S25674,63.54,62.55,65.3,112.37,0,0.172,0.05,1,60.51
S25675,63.85,62.81,65.72,112.99,0,0.17,0.05,1,61.01
S25676,63.69,62.77,65.29,112.54,0,0.171,0.05,1,60.64
S25677,63.42,62.54,64.94,112.02,0,0.172,0.05,1,60.21
S25678,63.54,62.55,65.3,112.37,0,0.172,0.05,1,60.51
S25679,63.42,62.54,64.94,112.02,0,0.172,0.05,1,60.21
S25680,63.59,62.75,65.04,112.27,0,0.171,0.05,1,60.42
S25681,63.31,62.52,64.65,111.71,0,0.173,0.05,1,59.97
S25682,63.42,62.54,64.94,112.02,0,0.172,0.05,1,60.21
S25683,63.31,62.52,64.65,111.71,0,0.173,0.05,1,59.97
S25684,63.35,62.69,64.42,111.62,0,0.172,0.05,1,59.89
S25685,63.13,62.51,64.12,111.18,0,0.173,0.05,1,59.54
S25686,63.24,62.52,64.44,111.51,0,0.173,0.05,1,59.8
S25687,63.13,62.51,64.12,111.18,0,0.173,0.05,1,59.54
S25688,63.06,62.63,63.66,110.82,0,0.174,0.05,1,59.24
S25689,62.9,62.49,63.45,110.51,0,0.174,0.05,1,58.99
S25690,63.13,62.51,64.12,111.18,0,0.173,0.05,1,59.54
S25691,62.9,62.49,63.45,110.51,0,0.174,0.05,1,58.99
S25692,63.13,62.51,64.12,111.18,0,0.173,0.05,1,59.54
S25693,62.92,62.35,63.82,110.77,0,0.174,0.05,1,59.19
S25694,63.05,62.37,64.17,111.12,0,0.174,0.05,1,59.49
S25695,62.92,62.35,63.82,110.77,0,0.174,0.05,1,59.19
S25696,63.31,62.52,64.65,111.71,0,0.173,0.05,1,59.97
S25697,63.13,62.38,64.4,111.36,0,0.173,0.05,1,59.68
S25698,63.13,62.38,64.4,111.36,0,0.173,0.05,1,59.68
S25699,62.8,62.42,63.3,110.31,0,0.175,0.05,1,58.82
S25700,62.8,62.34,63.47,110.41,0,0.175,0.05,1,58.91
S25701,62.68,62.33,63.13,110.07,0,0.175,0.05,1,58.63
S25702,62.7,62.48,62.9,109.95,0,0.175,0.05,1,58.53
S25703,62.58,62.47,62.74,109.64,0,0.176,0.05,1,58.34
S25704,62.58,62.47,62.74,109.64,0,0.176,0.05,1,58.34
S25705,63.13,62.38,64.4,111.36,0,0.173,0.05,1,59.68
S25706,63.05,62.37,64.17,111.12,0,0.174,0.05,1,59.49
S25707,63.05,62.37,64.17,111.12,0,0.174,0.05,1,59.49
S25708,63.31,62.52,64.65,111.71,0,0.173,0.05,1,59.97
S25709,63.24,62.52,64.44,111.51,0,0.173,0.05,1,59.8
S25710,63.49,62.72,64.78,112.0,0,0.172,0.05,1,60.2
S25711,63.49,62.72,64.78,112.0,0,0.172,0.05,1,60.2
S25712,63.49,62.72,64.78,112.0,0,0.172,0.05,1,60.2
S25713,62.6,62.02,63.52,110.21,0,0.176,0.05,1,58.75
S25714,62.61,61.94,63.71,110.34,0,0.176,0.05,1,58.85
S25715,62.47,61.92,63.33,109.94,0,0.176,0.05,1,58.53
S25716,63.37,62.04,65.82,112.49,0,0.172,0.05,1,60.61
S25717,63.37,62.04,65.82,112.49,0,0.172,0.05,1,60.61
S25718,63.01,61.99,64.83,111.48,0,0.174,0.05,1,59.78
S25719,63.28,62.2,65.25,112.05,0,0.173,0.05,1,60.24
S25720,63.12,62.01,65.14,111.8,0,0.173,0.05,1,60.04
S25721,63.01,61.99,64.83,111.48,0,0.174,0.05,1,59.78
S25722,63.17,62.18,64.94,111.74,0,0.173,0.05,1,59.98
S25723,62.87,61.98,64.45,111.09,0,0.175,0.05,1,59.46
S25724,63.01,61.99,64.83,111.48,0,0.174,0.05,1,59.78
S25725,62.87,61.98,64.45,111.09,0,0.175,0.05,1,59.46
S25726,62.73,61.96,64.05,110.68,0,0.175,0.05,1,59.13
S25727,63.04,62.17,64.57,111.36,0,0.174,0.05,1,59.68
S25728,62.87,61.98,64.45,111.09,0,0.175,0.05,1,59.46
S25729,62.73,61.96,64.05,110.68,0,0.175,0.05,1,59.13
S25730,62.75,62.04,63.95,110.65,0,0.175,0.05,1,59.1
S25731,62.61,61.94,63.71,110.34,0,0.176,0.05,1,58.85
